TYPES OF PADDY,X,Y,PERIOD,STARTING DURATION,ENDING DURATION,AVERAGE YIELD(Kg/ha),1000 GRAIN WEIGHT(g),GRAIN TYPE,HABIT,RICE COLOR,SPECIAL FEATURES,STARTING MONTH,ENDING MONTH,DISTRICT,RAINFALL ACTUAL(in mm),RAINFALL NORMAL(in mm),TMAX (°F),TMIN (°F)
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,April,May,Kanchipuram,397,490.8,100,78
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,April,May,Tiruvallur,9.5,67.2,99,79
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,April,May,Tiruvannamalai,44.3,98.9,102,76
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,April,May,Vellore,318.1,466.1,103,78
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,April,May,Cuddalore,5.6,81.7,93,81
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,June,July,Tiruchirappalli,143.2,293.9,98,81
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,April,May,Villupuram,22.5,76,97,79
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,June,July,Karur,164.4,213.6,96,79
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,June,July,Perambalur,180,290.7,98,81
IR 64,IR 5657_33_2_1,IR 2061_465_1_5_3,Short,115,120,6146,23.1,Long Slender,Semi dwarf,White,High-yielding and high-quality indica variety,June,July,Thanjavur,151,318,98,82
